message,sentiment,confidence
,NEUTRAL,71.28
Оу ес),NEUTRAL,70.33
Картинку пока не выбрала,NEUTRAL,83.0
"Может ее фото? И когда, например, она будет пялиться в экран и увидит картинку, то у нее будет error",NEGATIVE,75.15
🤣🤣🤣🤣,POSITIVE,59.17
Хотя мы можем перепутать и написать не в тот чат,NEGATIVE,75.15
Опасно да,NEGATIVE,75.15
Мы Олю с таким названием группы подставляем,NEUTRAL,83.01
Она рано или поздно увидит название,NEUTRAL,82.88
Да,NEUTRAL,81.3
И не важно какая там будет картинка,NEUTRAL,82.97
,NEUTRAL,71.28
Так лучше),NEUTRAL,70.98
🤝,POSITIVE,59.17
"В Багдаде все спокойно, Оля?))",NEUTRAL,81.98
"Да, опять совещаются😆
Уже второй час пошел))))",NEUTRAL,76.91
"Ростислав в первую же неделю нашей работы советовал прочитать книгу ""смерть от совещаний"")",POSITIVE,99.07
видимо ГН ее не читала),NEUTRAL,82.46
"еще больше совещаний! с утра до вечера!!
мы не понимаем, это про команду, про командообразование",NEUTRAL,80.21
"она вот сегодня даже хвалит людей
а в среду размазала
в пн опять размажет
и будет чередовать",NEGATIVE,75.08
Не знаю как объяснить ассоциацию) но вы почувствуете),POSITIVE,98.14
я уже на первой секунде все почувствовала,NEUTRAL,82.97
"А еще сегодня Наталья повесила картины, которые нарисовала ! 
Они ей просто не нужны дома.. она принесла их на работу!!",POSITIVE,80.57
Уютно!,POSITIVE,56.07
Незаметно язвительно подарю ей эту книгу)))),NEGATIVE,75.12
С намеком,NEUTRAL,82.8
Точно),NEUTRAL,82.97
Она любит книги всякие дарить,NEUTRAL,82.46
и унижать,NEGATIVE,75.16
Повесьте мои)) чтобы с ума сходилось проще,POSITIVE,84.04
Нет,NEGATIVE,75.15
Мои,NEUTRAL,52.25
Давайте выставку),NEUTRAL,82.95
"аааааааахахха
Игорь, спасибо, так мы сойдем быстрее!
а то медленно уже надоело",NEGATIVE,75.15
,NEUTRAL,71.28
"Оооо, это я у себя повешу",NEUTRAL,75.02
красота,POSITIVE,98.01
,NEUTRAL,71.28
Анастэйша-Пикассо!!,NEUTRAL,80.23
твои красивые,POSITIVE,94.88
,NEUTRAL,71.28
Главное - тема,NEUTRAL,82.41
как красиво,POSITIVE,97.67
Тут какой-то сбой в теме..,NEUTRAL,82.78
это ты маслом рисовала?,NEUTRAL,82.68
или чем,NEUTRAL,82.69
Там в кофе коньяк,NEUTRAL,83.04
"да, Насть
больше спиртного",NEUTRAL,80.49
чтобы я везде повесила у себя\,NEGATIVE,75.16
так мне будет легче,NEUTRAL,82.96
Ну ок,POSITIVE,97.76
,NEUTRAL,71.28
Масло,NEUTRAL,81.39
"а там, где ГН будет сидеть, повесим твою картину, Игорь!!😈😈",NEUTRAL,62.3
круто,POSITIVE,98.06
Нужно чтобы она всегда была перед ее глазами,NEUTRAL,82.76
Доводить так доводить!,NEGATIVE,75.16
"да, чтобы жестко рябила",NEGATIVE,75.16
,NEUTRAL,71.28
"Игорь, я сегодня рассказала историю про твоего поклонника сестре",NEUTRAL,82.87
Она смеялась до слез,POSITIVE,96.76
И я тоже,NEUTRAL,82.92
Какого полковника?,NEGATIVE,75.16
Который ухаживал за тобой,NEGATIVE,75.16
В Италии?,NEUTRAL,82.26
Да,NEUTRAL,81.3
Угу,NEUTRAL,63.58
А кстати ты там где был?,NEUTRAL,82.93
В Риме,NEUTRAL,82.02
Ах да,NEGATIVE,75.15
Романтичный город кончен,NEUTRAL,82.45
Конечно,NEUTRAL,82.63
)),NEUTRAL,74.06
Неудивительно,NEGATIVE,75.15
Рома или Лацио?,NEUTRAL,82.96
Первые дни у итальянки жил с видом на колизей - вот это было романтично),POSITIVE,99.07
Футбол? Я не фанат),POSITIVE,71.58
"Да, видела там рядом парк, где бомжи живут",NEUTRAL,82.98
Да,NEUTRAL,81.3
,NEUTRAL,71.28
Спят на средневековых лавочках,NEUTRAL,82.96
С видом на колизей,NEUTRAL,82.94
Да там и бомжом быть неплохо,NEUTRAL,74.4
Я пил с несколькими - отличные ребята,POSITIVE,97.23
